city,sex,un4gy,distcat,agxcat,agecat,dcat,time,subjects,upyr,pyr,gdist,agex,age,year,solid,oralca,lip,tongue,saliv,mouth,pharynx,digestca,esoph,stomach,smallint,colon,rectum,liver,gallbldr,pancr,othdig,respca,nasal,larynx,lung,othres,thymus,skinbone,bone,connect,nmskin,skbasal,sksquam,bowens,breast,femgenca,uterus,utrNOS,cervix,corpus,ovary,othfem,malgenca,prost,testis,othmale,urinca,bladder,kidney,renal,othurin,cnsca,thyroid,othsol,msother,adeno,squam,othepi,othnonepi,histnos,cola02w10,cola02g,cola02n,mara02w10,mara02g,mara02n,braa02w10,brea02w10,liva02w10,liva02g,liva02n,luna02w10,ovaa02w10,pana02w10,skea02w10,skia02w10,stoa02w10,tesa02w10,thya02w10,blaa02w10,utea02w10,trunc02,adjust02,outcome,dose,pyr_used,dose_group,dose_group_label
1,2,1,2,4,7,2,1,473,2366.76865,2155.25051,4510.775,17.943,32.034,1959.688,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.1e-4,1.1e-4,0,1.3e-4,1.3e-4,0,1.3e-4,1.3e-4,1.2e-4,1.2e-4,0,1.3e-4,1.1e-4,1.1e-4,1.2e-4,1.6e-4,1.2e-4,-0.1,1.3e-4,1.1e-4,1.1e-4,1,1,1,1.1e-4,2155.25051,0,0-0.1 Gy
2,2,1,1,7,15,7,7,0,10.88433,10.07725,1875.255,31.805,73.153,1986.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08898,0.08855,4e-5,0.10079,0.09998,8e-5,0.10524,0.10767,0.09882,0.09813,7e-5,0.09976,0.08645,0.08587,0.09543,0.12221,0.09155,-0.1,0.10918,0.09095,0.08852,1,1,0,0.08898,10.07725,0,0-0.1 Gy
2,2,1,1,13,16,3,1,18,73.18891,68.05178,2430.657,62.946,76.98,1959.642,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.01058,0.01056,0,0.01192,0.01188,0,0.01227,0.01239,0.0111,0.01107,0,0.01171,0.01034,0.01038,0.01141,0.01454,0.01088,-0.1,0.01248,0.01065,0.01041,1,1,1,0.01058,68.05178,0,0-0.1 Gy
1,1,1,1,15,18,3,1,7,25.66667,24.40926,2304.432,73.561,87.56,1959.598,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.011,0.01094,1e-5,0.0124,0.01228,1e-5,0.01298,0.01311,0.01166,0.01157,1e-5,0.0123,-0.1,0.0108,0.012,0.01553,0.01127,0.01167,0.01305,0.01106,-0.1,1,1,1,0.011,24.40926,0,0-0.1 Gy
1,2,1,1,12,14,10,1,15,16.31348,15.46437,1518.119,56.23,69.265,1958.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16243,0.15817,4.3e-4,0.18507,0.17634,8.7e-4,0.20116,0.20969,0.16947,0.1631,6.4e-4,0.1838,0.15603,0.16076,0.18398,0.24952,0.17667,-0.1,0.2043,0.16519,0.15966,1,1,0,0.16243,15.46437,1,0.1-0.2 Gy
1,1,1,1,4,15,11,10,0,15.64134,13.84681,1499.663,18.52,70.911,1997.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18549,0.18069,4.8e-4,0.21452,0.20441,0.00101,0.22189,0.22732,0.19974,0.19211,7.6e-4,0.20944,-0.1,0.17905,0.20647,0.28004,0.18862,0.19734,0.22251,0.18803,-0.1,1,1,0,0.18549,13.84681,1,0.1-0.2 Gy
1,2,1,1,5,14,9,9,0,129.98084,120.0412,1560.031,21.327,68.359,1992.629,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.13706,0.13378,3.3e-4,0.15856,0.15176,6.8e-4,0.16851,0.17192,0.14581,0.14058,5.2e-4,0.15478,0.13201,0.1331,0.15339,0.20874,0.14119,-0.1,0.16869,0.13791,0.13257,1,1,1,0.13706,120.0412,1,0.1-0.2 Gy
2,2,1,1,4,12,10,5,0,0.27173,0.21924,1576,19.874,55.136,1980.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16485,0.1633,1.5e-4,0.17531,0.1719,3.4e-4,0.18522,0.18535,0.13339,0.13091,2.5e-4,0.17687,0.14995,0.14469,0.16461,0.22455,0.17468,-0.1,0.20579,0.15458,0.15595,1,1,0,0.16485,0.21924,1,0.1-0.2 Gy
2,2,1,2,6,11,2,3,0,918.27173,856.17822,4803.149,28.163,51.776,1969.218,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.1e-4,3.1e-4,0,3.5e-4,3.5e-4,0,3.6e-4,3.6e-4,3.3e-4,3.3e-4,0,3.5e-4,3.1e-4,3.1e-4,3.4e-4,4.3e-4,3.2e-4,-0.1,3.7e-4,3.2e-4,3.1e-4,1,1,1,3.1e-4,856.17822,0,0-0.1 Gy
1,2,1,1,8,16,8,6,0,175.24093,169.8032,1617.179,38.397,76.865,1984.065,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.11323,0.11079,2.4e-4,0.13026,0.1251,5.2e-4,0.13768,0.13889,0.12054,0.11674,3.8e-4,0.12845,0.1105,0.11205,0.12649,0.17035,0.11815,-0.1,0.13761,0.1135,0.1099,1,1,1,0.11323,169.8032,1,0.1-0.2 Gy
1,1,1,1,11,18,9,5,0,22.30595,21.46904,1604.192,52.769,86.355,1979.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13523,0.13214,3.1e-4,0.15373,0.14756,6.2e-4,0.16688,0.17443,0.13901,0.13448,4.5e-4,0.15346,-0.1,0.13363,0.15229,0.20538,0.14685,0.14773,0.16795,0.13848,-0.1,1,1,0,0.13523,21.46904,1,0.1-0.2 Gy
