endpoint,contrast,sex,city,agxcat,agecat,agex,age,year,pyr,dose,dose_level,pihat,cate,cate_lo,cate_hi,logRR,rr
solid,control_vs_moderate,2,1,9,16,42.791,76.505,1979.311,64.14306,0.27941,moderate,0.42848134576879215,126.66295190968681,-182.81026708535683,517.0800565613962,0.10829103666561513,1.1273922852001268
solid,control_vs_moderate,2,1,10,14,49.862,65.133,1960.871,1.35987,0.40937,moderate,0.4222873484714033,34.97211482216276,-211.96116146190528,322.5829342483868,0.0428283714819834,1.0652783339340177
solid,control_vs_moderate,2,2,7,12,31.854,58.626,1972.378,20.11605,0.22547,moderate,0.42408464348749886,86.0750442737497,-27.845877879864826,235.79001787053463,0.21055105178288896,1.2473286321468338
solid,control_vs_moderate,2,2,9,18,42.343,89.956,1993.217,251.31815,0.00228,control,0.40208616223407706,403.3226350855792,-547.7461846320165,1681.0537119250437,0.10747829933637695,1.1256101865915658
solid,control_vs_moderate,2,2,3,13,11.731,63.357,1997.231,648.3815,2.6e-4,control,0.44931611182952647,-2.7397163430776432,-231.6643795054687,298.1291440736869,-0.01920929990167181,0.9979185607518374
solid,control_vs_moderate,2,1,7,9,30.976,44.191,1958.812,147.60306,0.02877,control,0.45286345469131356,35.06888120397532,-12.160419260147842,100.06721884102102,0.2101842450411348,1.2470060809075318
solid,control_vs_moderate,2,1,4,14,19.827,65.116,1990.886,1.26311,0.42248,moderate,0.46195979040685253,84.66771871895227,-307.3213627670809,593.2064934501288,0.06773815184272544,1.0923603833076168
solid,control_vs_moderate,2,2,8,16,38.239,76.767,1984.134,40.78857,0.06942,control,0.4109001849694668,176.8230548320191,-258.71616678886534,728.4931797183917,0.09999237713591323,1.1165039992423247
solid,control_vs_moderate,1,1,8,11,37.949,52.011,1959.659,1023.12293,1e-4,control,0.4316103327984125,-11.533472971804752,-82.10327609103459,55.982566439502015,-0.06212389597769505,0.9514569040159307
solid,control_vs_moderate,1,1,4,9,17.623,41.514,1969.488,157.67922,0.06869,control,0.46137539285598206,20.88770081200342,-13.206651609324675,67.86047985946564,0.15156868297111248,1.1738243877453618
solid,control_vs_moderate,1,2,7,17,34.752,80.075,1990.927,0.33591,1.6e-4,control,0.4048241467312394,1004.5446029750731,-349.1570541837638,3418.6458576436917,0.19037465502832587,1.22127718772381
solid,control_vs_moderate,1,2,7,18,33.641,86.019,1997.982,2.09694,0.33515,moderate,0.40467867387263307,1031.4152115086083,-420.6552983869155,2945.9110923506714,0.1906094403426466,1.2215655756407298
solid,control_vs_moderate,1,2,2,12,9.867,55.132,1990.87,3.99413,0.00236,control,0.444092797523913,100.01883358084102,-52.81774248409898,346.7300280403271,0.14135380479266968,1.1601895557545097
solid,control_vs_moderate,2,2,8,14,39.888,65.142,1970.86,0.43334,0.05153,control,0.411865732111487,-3.9787762657071823,-224.81826975275774,272.63642757020034,-0.029999118703756933,0.9895908699127224
solid,control_vs_moderate,1,1,2,4,5.736,19.071,1958.932,111.90075,0.00273,control,0.48341447003606375,2.683208639728025,-1.5768280109389166,9.559038637942713,0.14112705683986718,1.1599586737773753
solid,control_vs_moderate,1,2,6,16,26.888,76.142,1994.859,2.12131,0.19725,moderate,0.41606851347271334,1121.429304679348,-30.298241213654837,2983.549907949875,0.26117308433863484,1.3125970380736556
solid,control_vs_moderate,1,1,1,4,3.142,17.193,1959.648,155.91176,0.13766,moderate,0.48740332218219945,2.5019143197234186,-1.3899912010058895,8.739830552736437,0.14113621248685557,1.160119492428531
solid,control_vs_moderate,2,1,8,12,39.893,55.15,1960.855,1.97622,0.11361,moderate,0.43807720256892657,80.33055297455142,-96.17268141480668,359.31813421878746,0.14352900840133245,1.172069413099349
solid,control_vs_moderate,2,1,4,13,19.17,60.809,1987.237,84.45882,0.02907,control,0.46401608506117487,83.52896588587113,-90.08917091717967,315.15573192508964,0.1397661307409444,1.166182854701506
solid,control_vs_moderate,1,2,8,13,38.57,64.484,1971.519,3.70819,0.13838,moderate,0.404039204307413,-25.217518066957144,-412.562644807661,425.60905323848374,-0.03469982539091341,0.9788037278413213
